datetime,cpu,mem
Fri Aug  2 09:32:53 GMT 2019,5.8,91975
Fri Aug  2 09:32:54 GMT 2019,5.8,94334
Fri Aug  2 09:32:54 GMT 2019,5.8,120390
Fri Aug  2 09:32:54 GMT 2019,5.8,129660
Fri Aug  2 09:32:54 GMT 2019,5.8,146293
Fri Aug  2 09:32:55 GMT 2019,5.8,146474
Fri Aug  2 09:32:55 GMT 2019,5.8,146474
Fri Aug  2 09:32:55 GMT 2019,5.8,146474
Fri Aug  2 09:32:55 GMT 2019,5.8,146435
Fri Aug  2 09:32:56 GMT 2019,5.8,146437
Fri Aug  2 09:32:56 GMT 2019,5.8,146437
Fri Aug  2 09:32:56 GMT 2019,5.8,146437
Fri Aug  2 09:32:56 GMT 2019,5.8,146433
Fri Aug  2 09:32:57 GMT 2019,5.8,146433
Fri Aug  2 09:32:57 GMT 2019,5.8,146549
Fri Aug  2 09:32:57 GMT 2019,5.8,146545
Fri Aug  2 09:32:58 GMT 2019,5.8,146561
Fri Aug  2 09:32:58 GMT 2019,5.8,146577
Fri Aug  2 09:32:58 GMT 2019,5.8,146577
Fri Aug  2 09:32:58 GMT 2019,5.8,145326
Fri Aug  2 09:32:59 GMT 2019,5.8,145346
Fri Aug  2 09:32:59 GMT 2019,5.8,145350
Fri Aug  2 09:32:59 GMT 2019,5.8,145354
Fri Aug  2 09:33:00 GMT 2019,5.8,145354
Fri Aug  2 09:33:00 GMT 2019,5.8,145354
Fri Aug  2 09:33:00 GMT 2019,5.8,145354
Fri Aug  2 09:33:00 GMT 2019,5.8,145354
Fri Aug  2 09:33:01 GMT 2019,5.8,145354
Fri Aug  2 09:33:01 GMT 2019,5.8,145354
Fri Aug  2 09:33:01 GMT 2019,5.8,145354
Fri Aug  2 09:33:02 GMT 2019,5.8,145354
Fri Aug  2 09:33:02 GMT 2019,5.8,145354
Fri Aug  2 09:33:02 GMT 2019,5.8,145354
Fri Aug  2 09:33:02 GMT 2019,5.8,145354
Fri Aug  2 09:33:03 GMT 2019,5.8,145354
Fri Aug  2 09:33:03 GMT 2019,5.8,145354
Fri Aug  2 09:33:03 GMT 2019,5.8,145354
Fri Aug  2 09:33:04 GMT 2019,5.8,145334
Fri Aug  2 09:33:04 GMT 2019,5.8,145350
Fri Aug  2 09:33:04 GMT 2019,5.8,145354
Fri Aug  2 09:33:04 GMT 2019,5.8,145354
Fri Aug  2 09:33:05 GMT 2019,5.8,145354
Fri Aug  2 09:33:05 GMT 2019,5.8,145354
Fri Aug  2 09:33:05 GMT 2019,5.8,145354
Fri Aug  2 09:33:06 GMT 2019,5.8,145354
Fri Aug  2 09:33:06 GMT 2019,5.8,145354
Fri Aug  2 09:33:06 GMT 2019,5.8,145354
Fri Aug  2 09:33:07 GMT 2019,5.8,145354
Fri Aug  2 09:33:07 GMT 2019,5.8,145386
Fri Aug  2 09:33:07 GMT 2019,5.8,145486
Fri Aug  2 09:33:07 GMT 2019,5.8,145486
Fri Aug  2 09:33:08 GMT 2019,5.8,145486
Fri Aug  2 09:33:08 GMT 2019,5.8,145486
Fri Aug  2 09:33:08 GMT 2019,5.8,145486
Fri Aug  2 09:33:08 GMT 2019,5.8,145486
Fri Aug  2 09:33:09 GMT 2019,5.8,145462
Fri Aug  2 09:33:09 GMT 2019,5.8,145478
Fri Aug  2 09:33:09 GMT 2019,5.8,145482
Fri Aug  2 09:33:10 GMT 2019,5.8,145486
Fri Aug  2 09:33:10 GMT 2019,5.8,145486
